run_id,created_at,mode,status,workspace,manifest,report,notes
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTINTEGRATED_CODEX,2026-06-03T20:52:11,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTINTEGRATED_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTINTEGRATED_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTINTEGRATED_CODEX/reports/full_gap_report.md,
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,2026-06-03T23:06:41,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX/reports/full_gap_report.md,
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_FINALFIX_CODEX,2026-06-04T00:00:55,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_FINALFIX_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_FINALFIX_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_FINALFIX_CODEX/reports/full_gap_report.md,
FORMAL-20260603_FEEDBACK_LOCAL_FINALFIX_DRYRUN_CODEX,2026-06-04T00:01:21,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_LOCAL_FINALFIX_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_LOCAL_FINALFIX_DRYRUN_CODEX/reports/formal_assist_report.md,
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,2026-06-04T01:52:20,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_STAGE_LOCAL_QUEUEFIX_CODEX,2026-06-04T02:01:05,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_LOCAL_QUEUEFIX_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_LOCAL_QUEUEFIX_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_LOCAL_QUEUEFIX_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,2026-06-04T04:08:19,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_STAGE_LOCAL_CONTEXTSNAP_CODEX,2026-06-04T04:31:09,training_sandbox,needs_external_api_consent,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_LOCAL_CONTEXTSNAP_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_LOCAL_CONTEXTSNAP_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_LOCAL_CONTEXTSNAP_CODEX/reports/full_gap_report.md,external API consent required
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,2026-06-04T06:48:18,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,2026-06-04T07:00:57,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/reports/full_gap_report.md,post-fix acceptance recheck
FORMAL-20260604_FEEDBACK_API_CONTEXTSNAP_DRYRUN_CODEX,2026-06-04T07:01:08,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260604_FEEDBACK_API_CONTEXTSNAP_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260604_FEEDBACK_API_CONTEXTSNAP_DRYRUN_CODEX/reports/formal_assist_report.md,
FORMAL-20260604_FEEDBACK_API_CONTEXTSNAP_DRYRUN_CODEX,2026-06-04T07:03:35,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260604_FEEDBACK_API_CONTEXTSNAP_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260604_FEEDBACK_API_CONTEXTSNAP_DRYRUN_CODEX/reports/formal_assist_report.md,
TRAIN-20260604_TEXTONLY_CROP_YIELD_API_CODEX,2026-06-04T21:11:59,training_sandbox,agent_failed,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_API_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_API_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_API_CODEX/reports/full_gap_report.md,agent command failed
TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_CODEX,2026-06-04T21:15:53,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_V2_CODEX,2026-06-04T21:17:09,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_V2_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_V2_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_CROP_YIELD_LOCAL_V2_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_LOGISTICS_LOCAL_QUALITY_CODEX,2026-06-04T23:53:39,training_sandbox,completed_with_acceptance_issues,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_LOGISTICS_LOCAL_QUALITY_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_LOGISTICS_LOCAL_QUALITY_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_LOGISTICS_LOCAL_QUALITY_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_MEDSUPPLY_LOCAL_QUALITY_CODEX,2026-06-05T00:01:32,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_MEDSUPPLY_LOCAL_QUALITY_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_MEDSUPPLY_LOCAL_QUALITY_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_MEDSUPPLY_LOCAL_QUALITY_CODEX/reports/full_gap_report.md,
TRAIN-20260604_TEXTONLY_SHELTERSUPPLY_LOCAL_QUALITY_CODEX,2026-06-05T00:07:35,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_SHELTERSUPPLY_LOCAL_QUALITY_CODEX/workspace,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_SHELTERSUPPLY_LOCAL_QUALITY_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_SHELTERSUPPLY_LOCAL_QUALITY_CODEX/reports/full_gap_report.md,
